material_query,book,page,record_index,material_class,N,RP_RMS,RP_abs_RMS,RP_G_rho,RP_model_json,CP_family_RMS,CP_family_specific_model,CP_family_G_rho,CP_family_model_json,CP_vs_RP_log10_RMS_gain,selected_reason
Si,Si,Franta-50K,13,semiconductor,3,0.0201916803622181,0.5001524406930181,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-50K/RP_M3.json,,none,,,,RP usable
Si,Si,Franta-50K,13,semiconductor,5,0.0029802995939175,0.0674808013610325,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-50K/RP_M5.json,0.0030246781404311,AnalyticalCP,1.0000001965573808,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-50K/CP_M5.json,-0.006419244037389983,RP has lower RMS than CP-family at N=5
Si,Si,Karaman-120C,16,semiconductor,3,0.003690834010008,0.0749253504372737,1.0000000000000016,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Karaman-120C/RP_M3.json,0.0039263470352038,AnalyticalCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Karaman-120C/CP_M3.json,-0.02686416877328129,RP has lower RMS than CP-family at N=3
Si,Si,Karaman-170C,17,semiconductor,3,0.0034389895933608,0.0701481982474181,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Karaman-170C/RP_M3.json,0.0036876175686004,AnalyticalCP,1.000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Karaman-170C/CP_M3.json,-0.030315013764434996,RP has lower RMS than CP-family at N=3
Si,Si,Karaman-220C,19,semiconductor,3,0.0030989957913456,0.0635381152974286,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Karaman-220C/RP_M3.json,0.0033857464846973,AnalyticalCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Karaman-220C/CP_M3.json,-0.03843344978728907,RP has lower RMS than CP-family at N=3
Si3N4,Si3N4,Beliaev,1,nitride_or_carbide,3,2.8986254346300534e-06,1.2334168762952558e-05,1.0000000558860986,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/RP_M3.json,2.922514844021781e-06,SemiCP,1.0000000273367142,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/SCP_M3.json,-0.0035646270058113266,RP has lower RMS than CP-family at N=3
Si3N4,Si3N4,Beliaev,1,nitride_or_carbide,4,2.825423101400638e-06,1.1845176154595042e-05,1.0000000988233886,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/RP_M4.json,2.921938924804303e-06,SemiCP,1.000000168405192,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/SCP_M4.json,-0.014587642200256943,RP has lower RMS than CP-family at N=4
Si3N4,Si3N4,Beliaev,1,nitride_or_carbide,5,0.0006336236239704,0.0027198301080515,1.000000006052386,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/RP_M5.json,0.0011774255170509,SemiCP,1.0000001236279707,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si3N4_Si3N4_Beliaev/SCP_M5.json,-0.26910208248319334,RP has lower RMS than CP-family at N=5
SiO2,SiO2,Gao,6,oxide,2,0.0010081414125615,0.0022486114165955,1.000000318976895,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/SiO2_SiO2_Gao/RP_M2.json,0.0011575347875225,SemiCP,1.0000001865160353,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/SiO2_SiO2_Gao/SCP_M2.json,-0.06001259667371189,RP has lower RMS than CP-family at N=2
Ta2O5,Ta2O5,Cheikh-amorphous-3.28-12-25,4,oxide,5,2.044272314646864e-05,0.0001252291687516,1.000000013737823,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-3.28-12-25/RP_M5.json,3.674337354427919e-05,SemiCP,1.0000000201294337,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-3.28-12-25/SCP_M5.json,-0.2546402808994585,RP has lower RMS than CP-family at N=5
Ta2O5,Ta2O5,Cheikh-amorphous-3.28-4-25,6,oxide,4,4.732778813216952e-06,2.5533198853897888e-05,1.0000000345860904,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-3.28-4-25/RP_M4.json,7.27099352332216e-06,SemiCP,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-3.28-4-25/SCP_M4.json,-0.1864775496376768,RP has lower RMS than CP-family at N=4
Ta2O5,Ta2O5,Cheikh-amorphous-3.28-8-25,7,oxide,4,4.068663138062091e-06,2.258399702199297e-05,1.000000031170266,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-3.28-8-25/RP_M4.json,8.908283474006217e-05,AnalyticalCP,1.00000000000377,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-3.28-8-25/CP_M4.json,-1.3403422941849377,RP has lower RMS than CP-family at N=4
Ta2O5,Ta2O5,Cheikh-amorphous-3.28-8-550,9,oxide,4,9.663875597910614e-06,4.770078070897043e-05,1.000000033892394,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-3.28-8-550/RP_M4.json,,none,,,,RP usable
Ta2O5,Ta2O5,Cheikh-amorphous-4.38-12-25,10,oxide,5,3.797195905100083e-05,0.0001945185127983,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-4.38-12-25/RP_M5.json,4.352354717031889e-05,SemiCP,1.0000000273172274,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-4.38-12-25/SCP_M5.json,-0.05926127928700324,RP has lower RMS than CP-family at N=5
TiN,TiN,Shkondin-800,3,nitride_or_carbide,4,0.0153850917284293,0.0998419417030487,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiN_TiN_Shkondin-800/RP_M4.json,,none,,,,RP usable
TiO2,TiO2,Franta,1,oxide,4,0.0008106056728686,0.0046325108884996,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Franta/RP_M4.json,0.0009262104732299,AnalyticalCP,1.0000000000000022,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Franta/CP_M4.json,-0.057900048776626155,RP has lower RMS than CP-family at N=4
TiO2,TiO2,Sarkar,4,oxide,2,0.005316085426309,0.0335849719762259,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Sarkar/RP_M2.json,0.0057119932163646,SemiCP,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Sarkar/SCP_M2.json,-0.031195731815810344,RP has lower RMS than CP-family at N=2
TiO2,TiO2,Siefke,2,oxide,2,0.0050264474352661,0.0387482266592314,1.0000009583871563,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Siefke/RP_M2.json,0.0051693262718124,AnalyticalCP,1.0000007879922326,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Siefke/CP_M2.json,-0.012172799127921345,RP has lower RMS than CP-family at N=2
TiO2,TiO2,Zhukovsky,3,oxide,3,0.0020560607056716,0.0196530150785376,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Zhukovsky/RP_M3.json,0.0028355246416134,AnalyticalCP,1.0000009134912533,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Zhukovsky/CP_M3.json,-0.1395974926376142,RP has lower RMS than CP-family at N=3
TiO2,TiO2,Zhukovsky,3,oxide,4,0.0006127476690685,0.0051842705752848,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Zhukovsky/RP_M4.json,0.0006437277139936,SemiCP,1.00000036820495,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Zhukovsky/SCP_M4.json,-0.021420539088212443,RP has lower RMS than CP-family at N=4
TiO2,TiO2,Zhukovsky,3,oxide,5,0.0003629406042883,0.0031623192353204,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Zhukovsky/RP_M5.json,0.0005710677415669,AnalyticalCP,1.000000343152986,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Zhukovsky/CP_M5.json,-0.19685207047992556,RP has lower RMS than CP-family at N=5
VO2,VO2,Oguntoye-40C,3,oxide,4,0.0046049330100024,0.0343997574938954,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/VO2_VO2_Oguntoye-40C/RP_M4.json,0.0049987761625837,AnalyticalCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/VO2_VO2_Oguntoye-40C/CP_M4.json,-0.035640373452158904,RP has lower RMS than CP-family at N=4
VO2,VO2,Oguntoye-40C,3,oxide,5,0.000831032473156,0.0061045262173392,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/VO2_VO2_Oguntoye-40C/RP_M5.json,0.0009317597736622,SemiCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/VO2_VO2_Oguntoye-40C/SCP_M5.json,-0.0496859625005265,RP has lower RMS than CP-family at N=5
WSe2,WSe2,Gu-1L,1,chalcogenide_or_2D,3,0.1436796607599962,2.9662950702579414,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-1L/RP_M3.json,,none,,,,RP usable
WSe2,WSe2,Gu-2L,2,chalcogenide_or_2D,4,0.0539145373110866,1.1441498534773338,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-2L/RP_M4.json,0.1164450910326511,AnalyticalCP,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-2L/CP_M4.json,-0.33441530224354754,RP has lower RMS than CP-family at N=4
WSe2,WSe2,Gu-2L,2,chalcogenide_or_2D,5,0.0337067503769461,0.5775935932217946,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-2L/RP_M5.json,0.1128503279853755,AnalyticalCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-2L/CP_M5.json,-0.5247859408535274,RP has lower RMS than CP-family at N=5
WSe2,WSe2,Gu-5L,5,chalcogenide_or_2D,3,0.0782950697834055,1.8606688689398807,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-5L/RP_M3.json,0.1054895786773383,SemiCP,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-5L/SCP_M3.json,-0.12947514224311446,RP has lower RMS than CP-family at N=3
WSe2,WSe2,Munkhbat-o,6,chalcogenide_or_2D,4,0.0264091771924031,0.5977036729527155,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Munkhbat-o/RP_M4.json,0.1056471979544297,AnalyticalCP,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Munkhbat-o/CP_M4.json,-0.6021031124076527,RP has lower RMS than CP-family at N=4
ZnO,ZnO,Querry,1,TCO_or_semiconducting_oxide,1,0.0477904463027655,0.1166799393691674,1.0000007263274866,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Querry/RP_M1.json,0.0497122413227575,AnalyticalCP,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Querry/CP_M1.json,-0.01712225784720235,RP has lower RMS than CP-family at N=1
ZnO,ZnO,Querry,1,TCO_or_semiconducting_oxide,2,0.0538236022915536,0.1325967454406731,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Querry/RP_M2.json,0.0584853110287313,SemiCP,1.0000005654590134,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Querry/SCP_M2.json,-0.03607404311189836,RP has lower RMS than CP-family at N=2
ZnS,ZnS,Querry,1,semiconductor,2,0.0086943832962949,0.0573192179847876,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnS_ZnS_Querry/RP_M2.json,0.0112246999053282,AnalyticalCP,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnS_ZnS_Querry/CP_M2.json,-0.11093595650859171,RP has lower RMS than CP-family at N=2
