material_query,book,page,record_index,material_class,N,unusable_family,unusable_RMS,unusable_G_rho,unusable_FDTD_status,selected_family,selected_specific_model,selected_RMS,RMS_ratio_selected_over_unusable
MgF2,MgF2,Franta,1,fluoride,4,RP,4.759766001894759e-06,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0004002683267617,84.0941186189325
MgF2,MgF2,Franta,1,fluoride,3,RP,4.692188026395831e-06,1.0099320225740966,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0003898674675979,83.08862846175528
MgF2,MgF2,Franta,1,fluoride,5,RP,4.579630333213943e-06,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0003710081001161,81.01267419454136
SiO2,SiO2,Gao,6,oxide,5,RP,2.04367759181627e-05,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0010166779504854,49.74747262271695
Ta2O5,Ta2O5,Cheikh-amorphous-3.28-8-25,7,oxide,5,RP,3.96769450900296e-06,,NOT_EXPORTED_OR_AUDIT_REJECTED,CP,AnalyticalCP,0.0001471842353268,37.09565718651708
Si,Si,Franta-250K,6,semiconductor,3,RP,0.0088184236513797,1.0037309682776796,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0974630330413184,11.052205801664979
Al,Al,Rakic-BB,3,metal,2,RP,0.0925095115365209,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.5740784881574612,6.20561581855101
Si3N4,Si3N4,Vogt-3,4,nitride_or_carbide,1,RP,0.0150053616571823,1.0000055571509556,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.076465105958575,5.095852249717358
SiO2,SiO2,Gao,6,oxide,3,RP,6.53597563105367e-05,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0003193474623776,4.885995303598122
Sc2O3,Sc2O3,Belosludtsev,1,oxide,3,RP,0.0009110742436289,1.000196522046649,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0041595874654795,4.565585620016483
GaSb,GaSb,Djurisic,2,semiconductor,3,RP,0.0221481120581038,1.009946102645693,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0941984692054297,4.253115071763568
GeS2,GeS2,Slavich-beta,2,chalcogenide_or_2D,1,RP,0.030971625135747,1.0000024521313595,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1261280951636038,4.07237575073284
MoS2,MoS2,Ullberg,13,chalcogenide_or_2D,5,RP,0.0199051660022356,1.0000310806636084,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0769319622276096,3.8649244230854034
GaAs,GaAs,Rakic,2,semiconductor,2,RP,0.0451544623771473,1.0904914682445312,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.166579883848927,3.689112328646242
GeS2,GeS2,Slavich-alpha,1,chalcogenide_or_2D,1,RP,0.0332154328176899,1.000002705581605,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1205610916524331,3.6296709518782664
WSe2,WSe2,Gu-3L,3,chalcogenide_or_2D,5,RP,0.0271025866326137,1.0609911073350309,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.096336067383983,3.5544971662615295
Si,Si,Franta-100K,1,semiconductor,3,RP,0.0095736538362156,1.008478058787092,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0328179146852881,3.427940392114783
GeS2,GeS2,Slavich-alpha,1,chalcogenide_or_2D,4,RP,0.0001201710948117,1.2053701129158567,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0004082257320244,3.3970376375788387
TiN,TiN,Beliaev-sputtering,6,nitride_or_carbide,3,RP,0.005862712833347,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0175713235261552,2.9971318783021133
Ta2O5,Ta2O5,Cheikh-amorphous-3.28-8-550,9,oxide,3,RP,4.02217476664685e-05,1.002881837853664,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0001189355258293,2.9569954745763694
MoSe2,MoSe2,Pruszynska-Karbownik-o,2,chalcogenide_or_2D,4,RP,0.0381466108964145,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1104945418912556,2.896575588098739
Ge,Ge,Nunley,1,semiconductor,5,RP,0.0128688136369444,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0359863514974525,2.7964000810565146
Al2O3,Al2O3,Boidin,7,oxide,2,RP,0.0013199662517223,,NOT_EXPORTED_OR_AUDIT_REJECTED,CP,SemiCP,0.0036625254067257,2.774711400345891
WSe2,WSe2,Gu-3L,3,chalcogenide_or_2D,4,RP,0.0410032190057174,1.077229604367257,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1048399519726962,2.5568712534027522
WSe2,WSe2,Gu-5L,5,chalcogenide_or_2D,4,RP,0.041581631372966,1.0881310838408942,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1056330295739016,2.5403772311487076
InSb,InSb,Adachi,1,semiconductor,1,RP,0.2452898771538304,1.0005149104488682,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.609531607564243,2.484943996208955
TiO2,TiO2,Sarkar,4,oxide,1,RP,0.0538570931436618,1.000004709346422,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1328674365119305,2.4670369074229748
GaSb,GaSb,Adachi,1,semiconductor,1,RP,0.2388864736694958,1.000373793248584,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.5557884202879644,2.3265797001838986
WSe2,WSe2,Gu-4L,4,chalcogenide_or_2D,4,RP,0.0438813765066076,1.0922749038403066,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1013687835578784,2.3100638956167296
MoS2,MoS2,Munkhbat-e,17,chalcogenide_or_2D,2,RP,1.8286285097016922e-07,1.0005393962674791,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,4.166077447984863e-07,2.27825248588325
Si,Si,Franta-250K,6,semiconductor,4,RP,0.0052029211546815,1.0000022845963188,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0116949647159614,2.2477689682916813
Si,Si,Franta-20C,5,semiconductor,5,RP,0.0017006423408978,1.0000059226198754,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.003744900465554,2.2020505872957385
WS2,WS2,Munkhbat-o,1,chalcogenide_or_2D,4,RP,0.0490740804629759,1.0000429811281082,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1033443042842927,2.1058836621964043
WSe2,WSe2,Munkhbat-o,6,chalcogenide_or_2D,3,RP,0.0489797889798994,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1019659146312596,2.0817957111474072
Si,Si,Franta-300K,8,semiconductor,5,RP,0.0015181253221621,1.000002731183055,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0031200452188509,2.055196085134369
Pt,Pt,Rakic-BB,4,metal,1,RP,0.1566649846183969,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.312332659246459,1.9936341232039563
Al2O3,Al2O3,Franta,2,oxide,5,RP,4.460947979677686e-05,1.0000027546382857,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,8.881665214940492e-05,1.9909815705993088
TiO2,TiO2,Sarkar,4,oxide,4,RP,0.0009590509080896,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0018837667657116,1.9641989281507546
Fe2O3,Fe2O3,Querry-o,1,oxide,3,RP,0.010634905230629,1.000037375988971,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0203766757505643,1.9160185548131228
WS2,WS2,Munkhbat-o,1,chalcogenide_or_2D,1,RP,0.2704180017277119,1.000024951192957,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.505074302294016,1.8677539922160327
GeS2,GeS2,Slavich-abinitio-beta,4,chalcogenide_or_2D,1,RP,0.0448834743502678,1.0000142864700796,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0818355488095434,1.8232890834364546
MoSe2,MoSe2,Beal,1,chalcogenide_or_2D,3,RP,0.0560214254026398,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1007464368511757,1.7983554707343878
As2S3,As2S3,Synowicki,1,chalcogenide_or_2D,1,RP,0.1053363968630064,1.0000301625435075,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1876009184218952,1.7809695794500795
TiN,TiN,Shkondin-700,2,nitride_or_carbide,2,RP,0.0545181851675626,1.9720077536473952,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0955562362115842,1.7527405932147306
MoSe2,MoSe2,Munkhbat-o,3,chalcogenide_or_2D,2,RP,0.0789385366673687,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1381322424221878,1.7498708267705747
InAs,InAs,Adachi,1,semiconductor,4,RP,0.0840100598569623,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1457990777398295,1.7354954631394237
Ge,Ge,Nunley,1,semiconductor,4,RP,0.0256044982577324,1.0871327044823669,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0440587360467841,1.7207420197534482
MoS2,MoS2,Munkhbat-o,16,chalcogenide_or_2D,4,RP,0.0578607287329073,1.0000562941825757,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0989952821140817,1.7109235276150236
MoSe2,MoSe2,Pruszynska-Karbownik-o,2,chalcogenide_or_2D,3,RP,0.0476978326354038,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0790722705190947,1.6577749165986877
Pd,Pd,Rakic-BB,4,metal,4,RP,0.0072040726273332,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.011575940934697,1.6068606652820734
Si,Si,Green-1995,23,semiconductor,3,RP,0.1071300631127992,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1718873660930804,1.6044736752567488
WSe2,WSe2,Munkhbat-o,6,chalcogenide_or_2D,2,RP,0.0716075415411657,1.0001957585885943,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1128042267223339,1.5753121011351165
MoS2,MoS2,Song-6L,10,chalcogenide_or_2D,4,RP,0.0590948888739854,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0930328585800726,1.5742961929999886
MoSe2,MoSe2,Pruszynska-Karbownik-e,4,chalcogenide_or_2D,5,RP,0.0001982552246909,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0003112281118214,1.5698356111756258
Si,Si,Franta-25C,7,semiconductor,5,RP,0.0015946088964601,1.0000029858491792,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0024962323283377,1.5654197928276519
VO2,VO2,Oguntoye-30C,2,oxide,1,RP,0.1174141195865696,1.1214488511163478,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1773120101735686,1.5101421430225537
Al,Al,McPeak,5,metal,2,RP,0.0951820095040954,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1424636414850906,1.4967496717849902
Ti,Ti,Werner-DFT,1,metal,3,RP,0.0469630290301473,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0694908639178217,1.4796929702556654
InSb,InSb,Djurisic,2,semiconductor,1,RP,0.1639290413893152,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.2423247770478412,1.4782296961789945
MoSe2,MoSe2,Beal,1,chalcogenide_or_2D,4,RP,0.0417505168283357,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0610390438104799,1.4619949271874222
GeS2,GeS2,Slavich-beta,2,chalcogenide_or_2D,4,RP,0.0001345359080052,1.1086873713417742,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0001947687857257,1.4477085605886861
Ta2O5,Ta2O5,Cheikh-amorphous-3.28-4-25,6,oxide,5,RP,4.372755039134874e-06,,NOT_EXPORTED_OR_AUDIT_REJECTED,CP,SemiCP,6.278368840698851e-06,1.435792488833537
ZnO,ZnO,Querry,1,TCO_or_semiconducting_oxide,3,RP,0.0315583028970513,1.0015978086829664,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.044675797087864,1.4156590496518224
MoSe2,MoSe2,Pruszynska-Karbownik-o,2,chalcogenide_or_2D,2,RP,0.0637776882248728,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0894978381243254,1.4032781779227603
Si,Si,Franta,15,semiconductor,2,RP,0.0168188538223341,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0228091177722403,1.3561636252496354
SiO2,SiO2,Lemarchand,5,oxide,2,RP,1.8421590852151065e-05,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,2.4511394261459525e-05,1.3305796691601888
GaAs,GaAs,Rakic,2,semiconductor,5,RP,0.0126206839603673,1.0296956228215188,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0165693785514687,1.3128748492158964
GaSb,GaSb,Adachi,1,semiconductor,4,RP,0.112828951278319,1.0421054861992924,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1479292615547774,1.3110931182004455
Si,Si,Franta,15,semiconductor,3,RP,0.0015359095976959,2.8127850220505657,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0019969085876237,1.3001472160987662
Ge,Ge,Nunley,1,semiconductor,3,RP,0.035494251845718,1.0915181043763809,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.045720789395871,1.2881181323275792
MoO3,MoO3,Lajaunie-gamma,3,oxide,2,RP,0.0407788923066887,1.000003804840879,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0512598372607259,1.2570188732742522
GaSb,GaSb,Djurisic,2,semiconductor,1,RP,0.1315575312960565,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1652021396328085,1.2557406482570606
InSb,InSb,Adachi,1,semiconductor,2,RP,0.1519114035266753,1.033564529243169,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1902796053643227,1.252569596139042
Al2O3,Al2O3,Boidin,7,oxide,3,RP,0.0070812544174165,1.0002139723204082,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0088639511039506,1.2517487130739884
MoS2,MoS2,Ermolaev-o,15,chalcogenide_or_2D,2,RP,0.2576999716420127,1.0000459161041375,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.3220490862141035,1.249705555503445
MoSe2,MoSe2,Pruszynska-Karbownik-e,4,chalcogenide_or_2D,4,RP,0.000249100553428,,NOT_EXPORTED_OR_AUDIT_REJECTED,CP,AnalyticalCP,0.0003112281492167,1.249407698753497
ZrO2,ZrO2,Synowicki,1,oxide,5,RP,0.0004464121176095,,NOT_EXPORTED_OR_AUDIT_REJECTED,CP,SemiCP,0.0005503171738262,1.232755904506139
WS2,WS2,Munkhbat-o,1,chalcogenide_or_2D,3,RP,0.0908448138909815,1.0000769894476096,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1114383499865545,1.2266891769989898
Si,Si,Franta-450K,11,semiconductor,5,RP,0.001145869354162,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0013788473994173,1.2033199024034307
WSe2,WSe2,Gu-4L,4,chalcogenide_or_2D,3,RP,0.1083240298564065,1.2836002454248692,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1296142794922921,1.196542259959381
VO2,VO2,Oguntoye-20C,1,oxide,1,RP,0.1164292414482975,1.1187214157116585,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.137577953556226,1.1816443347466108
Si,Si,Franta-400K,10,semiconductor,1,RP,0.2800756119697925,1.0000267903960254,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.3306045460397063,1.1804117599334696
Si,Si,Franta-150K,3,semiconductor,1,RP,0.2705089651807351,1.0000040727093251,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.318306788899342,1.1766958950387163
Si3N4,Si3N4,Vogt-3,4,nitride_or_carbide,2,RP,0.0030970075743409,1.000001122827613,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0036393353557687,1.1751134824212426
Si,Si,Green-1995,23,semiconductor,4,RP,0.1419090202122347,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1655448467641641,1.1665561957695176
MoS2,MoS2,Beal,1,chalcogenide_or_2D,2,RP,0.1797947043796183,1.0000399591254072,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.2090632314321908,1.1627885935437507
WSe2,WSe2,Munkhbat-o,6,chalcogenide_or_2D,5,RP,0.0185142368100365,1.0527659475154925,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0211081922844363,1.1401059898398633
InAs,InAs,Adachi,1,semiconductor,5,RP,0.1191359003446413,1.0000055563248664,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1355594024299895,1.1378551892237152
MoO3,MoO3,Lajaunie-gamma,3,oxide,3,RP,0.0516785936688813,1.0000085478304812,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0574779345159077,1.1122194014060123
Si,Si,Franta-350K,9,semiconductor,1,RP,0.2983957390780278,1.0000173554688825,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.3283159394617748,1.1002701998232056
GeS2,GeS2,Slavich-abinitio-alpha,3,chalcogenide_or_2D,1,RP,0.0372457127392266,1.0000232107805818,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0408825242487711,1.097643761981611
Si,Si,Franta-20C,5,semiconductor,1,RP,0.3019069584111105,1.0000137577471062,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.3250951579385423,1.076805780328707
Si,Si,Franta-25C,7,semiconductor,1,RP,0.3061862141579407,1.0000125807598723,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.3255922562001379,1.0633798686709877
Si,Si,Franta,15,semiconductor,4,RP,0.0014662190614713,2.655201352736268,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0015295947955566,1.0432239190927615
MoS2,MoS2,Munkhbat-o,16,chalcogenide_or_2D,3,RP,0.1455978960135713,1.0000367319688972,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1502805711337126,1.0321616949719166
MoO3,MoO3,Lajaunie-alpha,1,oxide,1,RP,0.031121999847948,1.000006575096288,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0317930692126658,1.0215625399394779
Au,Au,Rakic-BB,8,metal,2,RP,0.1589708616314176,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1622869125699307,1.0208594889936593
MoO3,MoO3,Lajaunie-beta,2,oxide,1,RP,0.0515479448495105,1.0000118216133718,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0525137816913033,1.018736670193399
GaAs,GaAs,Rakic,2,semiconductor,4,RP,0.0164101853522324,1.0173599028162892,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0166070631020017,1.0119972898260114
Si3N4,Si3N4,Vogt-3,4,nitride_or_carbide,5,RP,0.0005624096168523,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0005676793588498,1.0093699357898498
Cu,Cu,Rakic-LD,7,metal,3,RP,0.0423870086414803,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0427731667168798,1.0091102931718
MoS2,MoS2,Islam-fewL,3,chalcogenide_or_2D,1,RP,0.390975642764432,1.0144057644512188,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.3918185088252199,1.0021558019697299
