material_class,N,family,usable_count,total_record_N_in_class,usable_fraction,median_RMS_usable
TCO_or_semiconducting_oxide,1,RP,2,2,1.0,0.046423538092870295
TCO_or_semiconducting_oxide,1,CP,2,2,1.0,0.039432777145341
TCO_or_semiconducting_oxide,1,SCP,2,2,1.0,0.0432004231410323
TCO_or_semiconducting_oxide,2,RP,1,2,0.5,0.0538236022915536
TCO_or_semiconducting_oxide,2,CP,1,2,0.5,0.006352017777369
TCO_or_semiconducting_oxide,2,SCP,2,2,1.0,0.03033926798750705
TCO_or_semiconducting_oxide,3,RP,0,2,0.0,
TCO_or_semiconducting_oxide,3,CP,1,2,0.5,0.0011688251742572
TCO_or_semiconducting_oxide,3,SCP,2,2,1.0,0.0228897718941008
TCO_or_semiconducting_oxide,4,RP,1,2,0.5,0.0014057976407969
TCO_or_semiconducting_oxide,4,CP,1,2,0.5,0.0004735927720463
TCO_or_semiconducting_oxide,4,SCP,1,2,0.5,0.0002512344427482
TCO_or_semiconducting_oxide,5,RP,0,2,0.0,
TCO_or_semiconducting_oxide,5,CP,1,2,0.5,0.0003410768401944
TCO_or_semiconducting_oxide,5,SCP,1,2,0.5,8.561017735094162e-05
carbon,1,RP,9,21,0.42857142857142855,0.073423616514492
carbon,1,CP,20,21,0.9523809523809523,0.10886352895175365
carbon,1,SCP,20,21,0.9523809523809523,0.10710483896135706
carbon,2,RP,8,21,0.38095238095238093,0.021097036131234148
carbon,2,CP,18,21,0.8571428571428571,0.0086489793062762
carbon,2,SCP,18,21,0.8571428571428571,0.0087170087292139
carbon,3,RP,9,21,0.42857142857142855,0.0064057902048664
carbon,3,CP,15,21,0.7142857142857143,0.005114699871239
carbon,3,SCP,16,21,0.7619047619047619,0.00272510533360515
carbon,4,RP,9,21,0.42857142857142855,0.0021408125088755
carbon,4,CP,14,21,0.6666666666666666,0.00503014758618125
carbon,4,SCP,16,21,0.7619047619047619,0.00170823480846235
carbon,5,RP,10,21,0.47619047619047616,0.00163879778961205
carbon,5,CP,13,21,0.6190476190476191,0.0037419255751603
carbon,5,SCP,15,21,0.7142857142857143,0.0012816037128121
chalcogenide_or_2D,1,RP,11,43,0.2558139534883721,0.1579469346817161
chalcogenide_or_2D,1,CP,31,43,0.7209302325581395,0.1433899981131341
chalcogenide_or_2D,1,SCP,35,43,0.813953488372093,0.1346950599001803
chalcogenide_or_2D,2,RP,8,43,0.18604651162790697,0.0787043534222163
chalcogenide_or_2D,2,CP,26,43,0.6046511627906976,0.07352829921179994
chalcogenide_or_2D,2,SCP,29,43,0.6744186046511628,0.1196390744725697
chalcogenide_or_2D,3,RP,9,43,0.20930232558139536,0.0782950697834055
chalcogenide_or_2D,3,CP,28,43,0.6511627906976745,0.06242536410341575
chalcogenide_or_2D,3,SCP,24,43,0.5581395348837209,0.02223993891362295
chalcogenide_or_2D,4,RP,14,43,0.32558139534883723,0.03650795163611065
chalcogenide_or_2D,4,CP,29,43,0.6744186046511628,0.0352396096589119
chalcogenide_or_2D,4,SCP,26,43,0.6046511627906976,0.016252904268403902
chalcogenide_or_2D,5,RP,19,43,0.4418604651162791,0.0142283983482709
chalcogenide_or_2D,5,CP,30,43,0.6976744186046512,0.0218390601355323
chalcogenide_or_2D,5,SCP,22,43,0.5116279069767442,0.00787027315506285
fluoride,1,RP,2,3,0.6666666666666666,0.00062346647273965
fluoride,1,CP,3,3,1.0,0.0004494063341677
fluoride,1,SCP,3,3,1.0,0.0003795299870673
fluoride,2,RP,0,3,0.0,
fluoride,2,CP,1,3,0.3333333333333333,0.008172133972096
fluoride,2,SCP,2,3,0.6666666666666666,0.0010025382127668001
fluoride,3,RP,1,3,0.3333333333333333,7.689481863580996e-07
fluoride,3,CP,1,3,0.3333333333333333,0.0083664362388137
fluoride,3,SCP,2,3,0.6666666666666666,0.00100093727343725
fluoride,4,RP,1,3,0.3333333333333333,0.0098795525866902
fluoride,4,CP,1,3,0.3333333333333333,0.0083661377013248
fluoride,4,SCP,2,3,0.6666666666666666,0.0009880595997562
fluoride,5,RP,0,3,0.0,
fluoride,5,CP,1,3,0.3333333333333333,0.008535078869577
fluoride,5,SCP,2,3,0.6666666666666666,0.0009601620112923501
high_k_oxide,1,RP,11,23,0.4782608695652174,0.0047514368040604
high_k_oxide,1,CP,17,23,0.7391304347826086,0.0020898904119211
high_k_oxide,1,SCP,23,23,1.0,0.0020223375826169
high_k_oxide,2,RP,12,23,0.5217391304347826,0.0047201991315936505
high_k_oxide,2,CP,23,23,1.0,0.0010752176752191
high_k_oxide,2,SCP,23,23,1.0,0.0010135869522357
high_k_oxide,3,RP,6,23,0.2608695652173913,0.00028355762959875
high_k_oxide,3,CP,22,23,0.9565217391304348,0.00032555732845665
high_k_oxide,3,SCP,22,23,0.9565217391304348,0.00021613445237185
high_k_oxide,4,RP,15,23,0.6521739130434783,9.537361199854862e-05
high_k_oxide,4,CP,20,23,0.8695652173913043,0.00011760843555219026
high_k_oxide,4,SCP,21,23,0.9130434782608695,0.0001288705968077
high_k_oxide,5,RP,9,23,0.391304347826087,5.104410518218368e-05
high_k_oxide,5,CP,20,23,0.8695652173913043,0.00012201096808890089
high_k_oxide,5,SCP,21,23,0.9130434782608695,4.352354717031889e-05
lossy_transition_metal_oxide,1,RP,5,14,0.35714285714285715,0.4932050634691309
lossy_transition_metal_oxide,1,CP,13,14,0.9285714285714286,0.1417618725634397
lossy_transition_metal_oxide,1,SCP,8,14,0.5714285714285714,0.101476157757967
lossy_transition_metal_oxide,2,RP,6,14,0.42857142857142855,0.013163045323877
lossy_transition_metal_oxide,2,CP,13,14,0.9285714285714286,0.0142483330758085
lossy_transition_metal_oxide,2,SCP,14,14,1.0,0.011049517450142501
lossy_transition_metal_oxide,3,RP,8,14,0.5714285714285714,0.0132684242102338
lossy_transition_metal_oxide,3,CP,14,14,1.0,0.014618099071771251
lossy_transition_metal_oxide,3,SCP,12,14,0.8571428571428571,0.00440881952384045
lossy_transition_metal_oxide,4,RP,13,14,0.9285714285714286,0.0058546747095519
lossy_transition_metal_oxide,4,CP,13,14,0.9285714285714286,0.0049987761625837
lossy_transition_metal_oxide,4,SCP,14,14,1.0,0.00283837884312125
lossy_transition_metal_oxide,5,RP,8,14,0.5714285714285714,0.006078118041698
lossy_transition_metal_oxide,5,CP,12,14,0.8571428571428571,0.0041606446520928
lossy_transition_metal_oxide,5,SCP,14,14,1.0,0.0005966782543574
metal,1,RP,12,103,0.11650485436893204,0.4257979427044162
metal,1,CP,73,103,0.7087378640776699,0.2674980768050229
metal,1,SCP,68,103,0.6601941747572816,0.2746158109809028
metal,2,RP,29,103,0.2815533980582524,0.1992533323827852
metal,2,CP,74,103,0.7184466019417476,0.0751290082278302
metal,2,SCP,89,103,0.8640776699029126,0.0385973327043258
metal,3,RP,21,103,0.20388349514563106,0.113109419680286
metal,3,CP,75,103,0.7281553398058253,0.0356856803618905
metal,3,SCP,95,103,0.9223300970873787,0.0113552461257554
metal,4,RP,26,103,0.2524271844660194,0.053603730728394944
metal,4,CP,75,103,0.7281553398058253,0.0159158491297431
metal,4,SCP,97,103,0.941747572815534,0.0047763540103905
metal,5,RP,39,103,0.3786407766990291,0.0386914647690283
metal,5,CP,78,103,0.7572815533980582,0.0129679200484913
metal,5,SCP,94,103,0.912621359223301,0.0031269025898156997
nitride_or_carbide,1,RP,3,12,0.25,0.3454599354857272
nitride_or_carbide,1,CP,10,12,0.8333333333333334,0.16675802394523245
nitride_or_carbide,1,SCP,11,12,0.9166666666666666,0.1535212277635998
nitride_or_carbide,2,RP,5,12,0.4166666666666667,0.0027808962407135
nitride_or_carbide,2,CP,11,12,0.9166666666666666,0.0080358095229893
nitride_or_carbide,2,SCP,10,12,0.8333333333333334,0.0233131075128677
nitride_or_carbide,3,RP,5,12,0.4166666666666667,0.0021991559683236
nitride_or_carbide,3,CP,8,12,0.6666666666666666,0.00333839105075625
nitride_or_carbide,3,SCP,10,12,0.8333333333333334,0.0093971039681499
nitride_or_carbide,4,RP,4,12,0.3333333333333333,0.0013788913166742
nitride_or_carbide,4,CP,7,12,0.5833333333333334,0.0008735947447811
nitride_or_carbide,4,SCP,10,12,0.8333333333333334,0.0007758983160149
nitride_or_carbide,5,RP,3,12,0.25,0.0009145026563568
nitride_or_carbide,5,CP,9,12,0.75,0.001634439405433
nitride_or_carbide,5,SCP,11,12,0.9166666666666666,0.0011719947641959
semiconductor,1,RP,1,40,0.025,0.3093482545934371
semiconductor,1,CP,12,40,0.3,0.18131830726215106
semiconductor,1,SCP,27,40,0.675,0.1725666498220052
semiconductor,2,RP,9,40,0.225,0.0182613354645545
semiconductor,2,CP,27,40,0.675,0.0304828103849962
semiconductor,2,SCP,28,40,0.7,0.03445006521567575
semiconductor,3,RP,12,40,0.3,0.0075853532933168
semiconductor,3,CP,25,40,0.625,0.0249415822291407
semiconductor,3,SCP,25,40,0.625,0.0105953315506337
semiconductor,4,RP,12,40,0.3,0.0059391053581296
semiconductor,4,CP,25,40,0.625,0.0076329259498451
semiconductor,4,SCP,22,40,0.55,0.00395807640064075
semiconductor,5,RP,18,40,0.45,0.00281959063409915
semiconductor,5,CP,32,40,0.8,0.0033301366042393
semiconductor,5,SCP,30,40,0.75,0.00371207314630685
transparent_dielectric_oxide,1,RP,13,15,0.8666666666666667,0.0012141408397079
transparent_dielectric_oxide,1,CP,14,15,0.9333333333333333,0.00090053672423315
transparent_dielectric_oxide,1,SCP,13,15,0.8666666666666667,0.0005207066394578
transparent_dielectric_oxide,2,RP,4,15,0.26666666666666666,0.00122690219953735
transparent_dielectric_oxide,2,CP,12,15,0.8,0.0001510803637895
transparent_dielectric_oxide,2,SCP,15,15,1.0,7.449788040220977e-05
transparent_dielectric_oxide,3,RP,2,15,0.13333333333333333,1.5811733676420915e-05
transparent_dielectric_oxide,3,CP,9,15,0.6,5.284982180703309e-05
transparent_dielectric_oxide,3,SCP,13,15,0.8666666666666667,2.699889611280861e-05
transparent_dielectric_oxide,4,RP,4,15,0.26666666666666666,3.825268834831447e-05
transparent_dielectric_oxide,4,CP,8,15,0.5333333333333333,3.9224113588584775e-05
transparent_dielectric_oxide,4,SCP,12,15,0.8,2.0960657999172224e-05
transparent_dielectric_oxide,5,RP,3,15,0.2,8.528663428176162e-06
transparent_dielectric_oxide,5,CP,10,15,0.6666666666666666,7.676325927481674e-05
transparent_dielectric_oxide,5,SCP,11,15,0.7333333333333333,2.402878207259225e-05
