material_class,threshold_RMS,N_max,family,records_reached,total_records_in_class,coverage_fraction
TCO_or_semiconducting_oxide,0.005,1,RP,0,2,0.0
TCO_or_semiconducting_oxide,0.005,1,CP_folded,0,2,0.0
TCO_or_semiconducting_oxide,0.005,1,Selected_RP_or_CP,0,2,0.0
TCO_or_semiconducting_oxide,0.005,2,RP,0,2,0.0
TCO_or_semiconducting_oxide,0.005,2,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.005,2,Selected_RP_or_CP,1,2,0.5
TCO_or_semiconducting_oxide,0.005,3,RP,0,2,0.0
TCO_or_semiconducting_oxide,0.005,3,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.005,3,Selected_RP_or_CP,1,2,0.5
TCO_or_semiconducting_oxide,0.005,4,RP,1,2,0.5
TCO_or_semiconducting_oxide,0.005,4,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.005,4,Selected_RP_or_CP,1,2,0.5
TCO_or_semiconducting_oxide,0.005,5,RP,1,2,0.5
TCO_or_semiconducting_oxide,0.005,5,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.005,5,Selected_RP_or_CP,1,2,0.5
TCO_or_semiconducting_oxide,0.01,1,RP,0,2,0.0
TCO_or_semiconducting_oxide,0.01,1,CP_folded,0,2,0.0
TCO_or_semiconducting_oxide,0.01,1,Selected_RP_or_CP,0,2,0.0
TCO_or_semiconducting_oxide,0.01,2,RP,0,2,0.0
TCO_or_semiconducting_oxide,0.01,2,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.01,2,Selected_RP_or_CP,1,2,0.5
TCO_or_semiconducting_oxide,0.01,3,RP,0,2,0.0
TCO_or_semiconducting_oxide,0.01,3,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.01,3,Selected_RP_or_CP,1,2,0.5
TCO_or_semiconducting_oxide,0.01,4,RP,1,2,0.5
TCO_or_semiconducting_oxide,0.01,4,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.01,4,Selected_RP_or_CP,1,2,0.5
TCO_or_semiconducting_oxide,0.01,5,RP,1,2,0.5
TCO_or_semiconducting_oxide,0.01,5,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.01,5,Selected_RP_or_CP,1,2,0.5
carbon,0.005,1,RP,2,21,0.09523809523809523
carbon,0.005,1,CP_folded,4,21,0.19047619047619047
carbon,0.005,1,Selected_RP_or_CP,4,21,0.19047619047619047
carbon,0.005,2,RP,4,21,0.19047619047619047
carbon,0.005,2,CP_folded,7,21,0.3333333333333333
carbon,0.005,2,Selected_RP_or_CP,7,21,0.3333333333333333
carbon,0.005,3,RP,6,21,0.2857142857142857
carbon,0.005,3,CP_folded,15,21,0.7142857142857143
carbon,0.005,3,Selected_RP_or_CP,15,21,0.7142857142857143
carbon,0.005,4,RP,9,21,0.42857142857142855
carbon,0.005,4,CP_folded,17,21,0.8095238095238095
carbon,0.005,4,Selected_RP_or_CP,18,21,0.8571428571428571
carbon,0.005,5,RP,11,21,0.5238095238095238
carbon,0.005,5,CP_folded,17,21,0.8095238095238095
carbon,0.005,5,Selected_RP_or_CP,18,21,0.8571428571428571
carbon,0.01,1,RP,3,21,0.14285714285714285
carbon,0.01,1,CP_folded,5,21,0.23809523809523808
carbon,0.01,1,Selected_RP_or_CP,5,21,0.23809523809523808
carbon,0.01,2,RP,7,21,0.3333333333333333
carbon,0.01,2,CP_folded,12,21,0.5714285714285714
carbon,0.01,2,Selected_RP_or_CP,12,21,0.5714285714285714
carbon,0.01,3,RP,9,21,0.42857142857142855
carbon,0.01,3,CP_folded,17,21,0.8095238095238095
carbon,0.01,3,Selected_RP_or_CP,17,21,0.8095238095238095
carbon,0.01,4,RP,12,21,0.5714285714285714
carbon,0.01,4,CP_folded,18,21,0.8571428571428571
carbon,0.01,4,Selected_RP_or_CP,19,21,0.9047619047619048
carbon,0.01,5,RP,14,21,0.6666666666666666
carbon,0.01,5,CP_folded,18,21,0.8571428571428571
carbon,0.01,5,Selected_RP_or_CP,19,21,0.9047619047619048
chalcogenide_or_2D,0.005,1,RP,1,43,0.023255813953488372
chalcogenide_or_2D,0.005,1,CP_folded,2,43,0.046511627906976744
chalcogenide_or_2D,0.005,1,Selected_RP_or_CP,2,43,0.046511627906976744
chalcogenide_or_2D,0.005,2,RP,1,43,0.023255813953488372
chalcogenide_or_2D,0.005,2,CP_folded,4,43,0.09302325581395349
chalcogenide_or_2D,0.005,2,Selected_RP_or_CP,4,43,0.09302325581395349
chalcogenide_or_2D,0.005,3,RP,2,43,0.046511627906976744
chalcogenide_or_2D,0.005,3,CP_folded,8,43,0.18604651162790697
chalcogenide_or_2D,0.005,3,Selected_RP_or_CP,8,43,0.18604651162790697
chalcogenide_or_2D,0.005,4,RP,3,43,0.06976744186046512
chalcogenide_or_2D,0.005,4,CP_folded,9,43,0.20930232558139536
chalcogenide_or_2D,0.005,4,Selected_RP_or_CP,9,43,0.20930232558139536
chalcogenide_or_2D,0.005,5,RP,5,43,0.11627906976744186
chalcogenide_or_2D,0.005,5,CP_folded,11,43,0.2558139534883721
chalcogenide_or_2D,0.005,5,Selected_RP_or_CP,11,43,0.2558139534883721
chalcogenide_or_2D,0.01,1,RP,3,43,0.06976744186046512
chalcogenide_or_2D,0.01,1,CP_folded,5,43,0.11627906976744186
chalcogenide_or_2D,0.01,1,Selected_RP_or_CP,5,43,0.11627906976744186
chalcogenide_or_2D,0.01,2,RP,5,43,0.11627906976744186
chalcogenide_or_2D,0.01,2,CP_folded,8,43,0.18604651162790697
chalcogenide_or_2D,0.01,2,Selected_RP_or_CP,8,43,0.18604651162790697
chalcogenide_or_2D,0.01,3,RP,7,43,0.16279069767441862
chalcogenide_or_2D,0.01,3,CP_folded,13,43,0.3023255813953488
chalcogenide_or_2D,0.01,3,Selected_RP_or_CP,13,43,0.3023255813953488
chalcogenide_or_2D,0.01,4,RP,8,43,0.18604651162790697
chalcogenide_or_2D,0.01,4,CP_folded,14,43,0.32558139534883723
chalcogenide_or_2D,0.01,4,Selected_RP_or_CP,14,43,0.32558139534883723
chalcogenide_or_2D,0.01,5,RP,11,43,0.2558139534883721
chalcogenide_or_2D,0.01,5,CP_folded,18,43,0.4186046511627907
chalcogenide_or_2D,0.01,5,Selected_RP_or_CP,18,43,0.4186046511627907
fluoride,0.005,1,RP,2,3,0.6666666666666666
fluoride,0.005,1,CP_folded,3,3,1.0
fluoride,0.005,1,Selected_RP_or_CP,3,3,1.0
fluoride,0.005,2,RP,2,3,0.6666666666666666
fluoride,0.005,2,CP_folded,3,3,1.0
fluoride,0.005,2,Selected_RP_or_CP,3,3,1.0
fluoride,0.005,3,RP,2,3,0.6666666666666666
fluoride,0.005,3,CP_folded,3,3,1.0
fluoride,0.005,3,Selected_RP_or_CP,3,3,1.0
fluoride,0.005,4,RP,2,3,0.6666666666666666
fluoride,0.005,4,CP_folded,3,3,1.0
fluoride,0.005,4,Selected_RP_or_CP,3,3,1.0
fluoride,0.005,5,RP,2,3,0.6666666666666666
fluoride,0.005,5,CP_folded,3,3,1.0
fluoride,0.005,5,Selected_RP_or_CP,3,3,1.0
fluoride,0.01,1,RP,2,3,0.6666666666666666
fluoride,0.01,1,CP_folded,3,3,1.0
fluoride,0.01,1,Selected_RP_or_CP,3,3,1.0
fluoride,0.01,2,RP,2,3,0.6666666666666666
fluoride,0.01,2,CP_folded,3,3,1.0
fluoride,0.01,2,Selected_RP_or_CP,3,3,1.0
fluoride,0.01,3,RP,2,3,0.6666666666666666
fluoride,0.01,3,CP_folded,3,3,1.0
fluoride,0.01,3,Selected_RP_or_CP,3,3,1.0
fluoride,0.01,4,RP,3,3,1.0
fluoride,0.01,4,CP_folded,3,3,1.0
fluoride,0.01,4,Selected_RP_or_CP,3,3,1.0
fluoride,0.01,5,RP,3,3,1.0
fluoride,0.01,5,CP_folded,3,3,1.0
fluoride,0.01,5,Selected_RP_or_CP,3,3,1.0
high_k_oxide,0.005,1,RP,9,23,0.391304347826087
high_k_oxide,0.005,1,CP_folded,15,23,0.6521739130434783
high_k_oxide,0.005,1,Selected_RP_or_CP,15,23,0.6521739130434783
high_k_oxide,0.005,2,RP,12,23,0.5217391304347826
high_k_oxide,0.005,2,CP_folded,21,23,0.9130434782608695
high_k_oxide,0.005,2,Selected_RP_or_CP,21,23,0.9130434782608695
high_k_oxide,0.005,3,RP,16,23,0.6956521739130435
high_k_oxide,0.005,3,CP_folded,22,23,0.9565217391304348
high_k_oxide,0.005,3,Selected_RP_or_CP,22,23,0.9565217391304348
high_k_oxide,0.005,4,RP,21,23,0.9130434782608695
high_k_oxide,0.005,4,CP_folded,23,23,1.0
high_k_oxide,0.005,4,Selected_RP_or_CP,23,23,1.0
high_k_oxide,0.005,5,RP,21,23,0.9130434782608695
high_k_oxide,0.005,5,CP_folded,23,23,1.0
high_k_oxide,0.005,5,Selected_RP_or_CP,23,23,1.0
high_k_oxide,0.01,1,RP,11,23,0.4782608695652174
high_k_oxide,0.01,1,CP_folded,17,23,0.7391304347826086
high_k_oxide,0.01,1,Selected_RP_or_CP,17,23,0.7391304347826086
high_k_oxide,0.01,2,RP,16,23,0.6956521739130435
high_k_oxide,0.01,2,CP_folded,23,23,1.0
high_k_oxide,0.01,2,Selected_RP_or_CP,23,23,1.0
high_k_oxide,0.01,3,RP,20,23,0.8695652173913043
high_k_oxide,0.01,3,CP_folded,23,23,1.0
high_k_oxide,0.01,3,Selected_RP_or_CP,23,23,1.0
high_k_oxide,0.01,4,RP,23,23,1.0
high_k_oxide,0.01,4,CP_folded,23,23,1.0
high_k_oxide,0.01,4,Selected_RP_or_CP,23,23,1.0
high_k_oxide,0.01,5,RP,23,23,1.0
high_k_oxide,0.01,5,CP_folded,23,23,1.0
high_k_oxide,0.01,5,Selected_RP_or_CP,23,23,1.0
lossy_transition_metal_oxide,0.005,1,RP,0,14,0.0
lossy_transition_metal_oxide,0.005,1,CP_folded,0,14,0.0
lossy_transition_metal_oxide,0.005,1,Selected_RP_or_CP,0,14,0.0
lossy_transition_metal_oxide,0.005,2,RP,0,14,0.0
lossy_transition_metal_oxide,0.005,2,CP_folded,0,14,0.0
lossy_transition_metal_oxide,0.005,2,Selected_RP_or_CP,0,14,0.0
lossy_transition_metal_oxide,0.005,3,RP,0,14,0.0
lossy_transition_metal_oxide,0.005,3,CP_folded,7,14,0.5
lossy_transition_metal_oxide,0.005,3,Selected_RP_or_CP,7,14,0.5
lossy_transition_metal_oxide,0.005,4,RP,5,14,0.35714285714285715
lossy_transition_metal_oxide,0.005,4,CP_folded,13,14,0.9285714285714286
lossy_transition_metal_oxide,0.005,4,Selected_RP_or_CP,13,14,0.9285714285714286
lossy_transition_metal_oxide,0.005,5,RP,6,14,0.42857142857142855
lossy_transition_metal_oxide,0.005,5,CP_folded,13,14,0.9285714285714286
lossy_transition_metal_oxide,0.005,5,Selected_RP_or_CP,13,14,0.9285714285714286
lossy_transition_metal_oxide,0.01,1,RP,0,14,0.0
lossy_transition_metal_oxide,0.01,1,CP_folded,0,14,0.0
lossy_transition_metal_oxide,0.01,1,Selected_RP_or_CP,0,14,0.0
lossy_transition_metal_oxide,0.01,2,RP,0,14,0.0
lossy_transition_metal_oxide,0.01,2,CP_folded,4,14,0.2857142857142857
lossy_transition_metal_oxide,0.01,2,Selected_RP_or_CP,4,14,0.2857142857142857
lossy_transition_metal_oxide,0.01,3,RP,3,14,0.21428571428571427
lossy_transition_metal_oxide,0.01,3,CP_folded,12,14,0.8571428571428571
lossy_transition_metal_oxide,0.01,3,Selected_RP_or_CP,12,14,0.8571428571428571
lossy_transition_metal_oxide,0.01,4,RP,10,14,0.7142857142857143
lossy_transition_metal_oxide,0.01,4,CP_folded,14,14,1.0
lossy_transition_metal_oxide,0.01,4,Selected_RP_or_CP,14,14,1.0
lossy_transition_metal_oxide,0.01,5,RP,11,14,0.7857142857142857
lossy_transition_metal_oxide,0.01,5,CP_folded,14,14,1.0
lossy_transition_metal_oxide,0.01,5,Selected_RP_or_CP,14,14,1.0
metal,0.005,1,RP,0,103,0.0
metal,0.005,1,CP_folded,0,103,0.0
metal,0.005,1,Selected_RP_or_CP,0,103,0.0
metal,0.005,2,RP,0,103,0.0
metal,0.005,2,CP_folded,7,103,0.06796116504854369
metal,0.005,2,Selected_RP_or_CP,7,103,0.06796116504854369
metal,0.005,3,RP,2,103,0.019417475728155338
metal,0.005,3,CP_folded,23,103,0.22330097087378642
metal,0.005,3,Selected_RP_or_CP,23,103,0.22330097087378642
metal,0.005,4,RP,3,103,0.02912621359223301
metal,0.005,4,CP_folded,50,103,0.4854368932038835
metal,0.005,4,Selected_RP_or_CP,50,103,0.4854368932038835
metal,0.005,5,RP,6,103,0.05825242718446602
metal,0.005,5,CP_folded,55,103,0.5339805825242718
metal,0.005,5,Selected_RP_or_CP,55,103,0.5339805825242718
metal,0.01,1,RP,0,103,0.0
metal,0.01,1,CP_folded,0,103,0.0
metal,0.01,1,Selected_RP_or_CP,0,103,0.0
metal,0.01,2,RP,0,103,0.0
metal,0.01,2,CP_folded,15,103,0.14563106796116504
metal,0.01,2,Selected_RP_or_CP,15,103,0.14563106796116504
metal,0.01,3,RP,3,103,0.02912621359223301
metal,0.01,3,CP_folded,42,103,0.4077669902912621
metal,0.01,3,Selected_RP_or_CP,42,103,0.4077669902912621
metal,0.01,4,RP,5,103,0.04854368932038835
metal,0.01,4,CP_folded,63,103,0.6116504854368932
metal,0.01,4,Selected_RP_or_CP,63,103,0.6116504854368932
metal,0.01,5,RP,10,103,0.0970873786407767
metal,0.01,5,CP_folded,68,103,0.6601941747572816
metal,0.01,5,Selected_RP_or_CP,68,103,0.6601941747572816
nitride_or_carbide,0.005,1,RP,1,12,0.08333333333333333
nitride_or_carbide,0.005,1,CP_folded,3,12,0.25
nitride_or_carbide,0.005,1,Selected_RP_or_CP,3,12,0.25
nitride_or_carbide,0.005,2,RP,3,12,0.25
nitride_or_carbide,0.005,2,CP_folded,5,12,0.4166666666666667
nitride_or_carbide,0.005,2,Selected_RP_or_CP,5,12,0.4166666666666667
nitride_or_carbide,0.005,3,RP,4,12,0.3333333333333333
nitride_or_carbide,0.005,3,CP_folded,5,12,0.4166666666666667
nitride_or_carbide,0.005,3,Selected_RP_or_CP,5,12,0.4166666666666667
nitride_or_carbide,0.005,4,RP,4,12,0.3333333333333333
nitride_or_carbide,0.005,4,CP_folded,8,12,0.6666666666666666
nitride_or_carbide,0.005,4,Selected_RP_or_CP,8,12,0.6666666666666666
nitride_or_carbide,0.005,5,RP,4,12,0.3333333333333333
nitride_or_carbide,0.005,5,CP_folded,10,12,0.8333333333333334
nitride_or_carbide,0.005,5,Selected_RP_or_CP,10,12,0.8333333333333334
nitride_or_carbide,0.01,1,RP,1,12,0.08333333333333333
nitride_or_carbide,0.01,1,CP_folded,4,12,0.3333333333333333
nitride_or_carbide,0.01,1,Selected_RP_or_CP,4,12,0.3333333333333333
nitride_or_carbide,0.01,2,RP,3,12,0.25
nitride_or_carbide,0.01,2,CP_folded,6,12,0.5
nitride_or_carbide,0.01,2,Selected_RP_or_CP,6,12,0.5
nitride_or_carbide,0.01,3,RP,4,12,0.3333333333333333
nitride_or_carbide,0.01,3,CP_folded,6,12,0.5
nitride_or_carbide,0.01,3,Selected_RP_or_CP,6,12,0.5
nitride_or_carbide,0.01,4,RP,4,12,0.3333333333333333
nitride_or_carbide,0.01,4,CP_folded,8,12,0.6666666666666666
nitride_or_carbide,0.01,4,Selected_RP_or_CP,8,12,0.6666666666666666
nitride_or_carbide,0.01,5,RP,4,12,0.3333333333333333
nitride_or_carbide,0.01,5,CP_folded,10,12,0.8333333333333334
nitride_or_carbide,0.01,5,Selected_RP_or_CP,10,12,0.8333333333333334
semiconductor,0.005,1,RP,0,40,0.0
semiconductor,0.005,1,CP_folded,0,40,0.0
semiconductor,0.005,1,Selected_RP_or_CP,0,40,0.0
semiconductor,0.005,2,RP,0,40,0.0
semiconductor,0.005,2,CP_folded,6,40,0.15
semiconductor,0.005,2,Selected_RP_or_CP,6,40,0.15
semiconductor,0.005,3,RP,5,40,0.125
semiconductor,0.005,3,CP_folded,15,40,0.375
semiconductor,0.005,3,Selected_RP_or_CP,15,40,0.375
semiconductor,0.005,4,RP,6,40,0.15
semiconductor,0.005,4,CP_folded,19,40,0.475
semiconductor,0.005,4,Selected_RP_or_CP,19,40,0.475
semiconductor,0.005,5,RP,12,40,0.3
semiconductor,0.005,5,CP_folded,26,40,0.65
semiconductor,0.005,5,Selected_RP_or_CP,27,40,0.675
semiconductor,0.01,1,RP,0,40,0.0
semiconductor,0.01,1,CP_folded,0,40,0.0
semiconductor,0.01,1,Selected_RP_or_CP,0,40,0.0
semiconductor,0.01,2,RP,1,40,0.025
semiconductor,0.01,2,CP_folded,9,40,0.225
semiconductor,0.01,2,Selected_RP_or_CP,10,40,0.25
semiconductor,0.01,3,RP,7,40,0.175
semiconductor,0.01,3,CP_folded,16,40,0.4
semiconductor,0.01,3,Selected_RP_or_CP,16,40,0.4
semiconductor,0.01,4,RP,15,40,0.375
semiconductor,0.01,4,CP_folded,23,40,0.575
semiconductor,0.01,4,Selected_RP_or_CP,25,40,0.625
semiconductor,0.01,5,RP,21,40,0.525
semiconductor,0.01,5,CP_folded,29,40,0.725
semiconductor,0.01,5,Selected_RP_or_CP,30,40,0.75
transparent_dielectric_oxide,0.005,1,RP,11,15,0.7333333333333333
transparent_dielectric_oxide,0.005,1,CP_folded,12,15,0.8
transparent_dielectric_oxide,0.005,1,Selected_RP_or_CP,12,15,0.8
transparent_dielectric_oxide,0.005,2,RP,11,15,0.7333333333333333
transparent_dielectric_oxide,0.005,2,CP_folded,14,15,0.9333333333333333
transparent_dielectric_oxide,0.005,2,Selected_RP_or_CP,14,15,0.9333333333333333
transparent_dielectric_oxide,0.005,3,RP,11,15,0.7333333333333333
transparent_dielectric_oxide,0.005,3,CP_folded,15,15,1.0
transparent_dielectric_oxide,0.005,3,Selected_RP_or_CP,15,15,1.0
transparent_dielectric_oxide,0.005,4,RP,11,15,0.7333333333333333
transparent_dielectric_oxide,0.005,4,CP_folded,15,15,1.0
transparent_dielectric_oxide,0.005,4,Selected_RP_or_CP,15,15,1.0
transparent_dielectric_oxide,0.005,5,RP,11,15,0.7333333333333333
transparent_dielectric_oxide,0.005,5,CP_folded,15,15,1.0
transparent_dielectric_oxide,0.005,5,Selected_RP_or_CP,15,15,1.0
transparent_dielectric_oxide,0.01,1,RP,11,15,0.7333333333333333
transparent_dielectric_oxide,0.01,1,CP_folded,13,15,0.8666666666666667
transparent_dielectric_oxide,0.01,1,Selected_RP_or_CP,13,15,0.8666666666666667
transparent_dielectric_oxide,0.01,2,RP,11,15,0.7333333333333333
transparent_dielectric_oxide,0.01,2,CP_folded,14,15,0.9333333333333333
transparent_dielectric_oxide,0.01,2,Selected_RP_or_CP,14,15,0.9333333333333333
transparent_dielectric_oxide,0.01,3,RP,11,15,0.7333333333333333
transparent_dielectric_oxide,0.01,3,CP_folded,15,15,1.0
transparent_dielectric_oxide,0.01,3,Selected_RP_or_CP,15,15,1.0
transparent_dielectric_oxide,0.01,4,RP,11,15,0.7333333333333333
transparent_dielectric_oxide,0.01,4,CP_folded,15,15,1.0
transparent_dielectric_oxide,0.01,4,Selected_RP_or_CP,15,15,1.0
transparent_dielectric_oxide,0.01,5,RP,11,15,0.7333333333333333
transparent_dielectric_oxide,0.01,5,CP_folded,15,15,1.0
transparent_dielectric_oxide,0.01,5,Selected_RP_or_CP,15,15,1.0
