record_key,material,record,selected_N,selected_family,selected_model,FDTD_status,has_raw_experiment,has_fitting_grid,has_model_curve,n_raw_paths_in_record,n_fit_grid_paths_in_record,n_curve_paths_in_record,n_fallback_curve_files,fallback_curve_files
Ag_Ag_Ciesielski,Ag,Ciesielski,,,,,True,True,False,1,1,0,0,
Ag_Ag_Hagemann,Ag,Hagemann,,,,,True,True,False,1,1,0,0,
Ag_Ag_McPeak,Ag,McPeak,,,,,True,True,False,1,1,0,0,
Ag_Ag_Rakic-LD,Ag,Rakic-LD,,,,,True,True,False,1,1,0,0,
Al2O3_Al2O3_Boidin,Al2O3,Boidin,,,,,True,True,False,1,1,0,0,
Al2O3_Al2O3_Querry,Al2O3,Querry,,,,,True,True,False,1,1,0,0,
Al_Al_Rakic-BB,Al,Rakic-BB,,,,,True,True,False,1,1,0,0,
As2S3_As2S3_Slavich-abinitio-beta,As2S3,Slavich-abinitio-beta,,,,,True,True,False,1,1,0,0,
Au_Au_Babar,Au,Babar,,,,,True,True,False,1,1,0,0,
Au_Au_Hagemann,Au,Hagemann,,,,,True,True,False,1,1,0,0,
Au_Au_Magnozzi-225C,Au,Magnozzi-225C,,,,,True,True,False,1,1,0,0,
Au_Au_McPeak,Au,McPeak,,,,,True,True,False,1,1,0,0,
Au_Au_Olmon-sc,Au,Olmon-sc,,,,,True,True,False,1,1,0,0,
Au_Au_Olmon-ts,Au,Olmon-ts,,,,,True,True,False,1,1,0,0,
Au_Au_Rakic-LD,Au,Rakic-LD,,,,,True,True,False,1,1,0,0,
Au_Au_Rosenblatt-11nm,Au,Rosenblatt-11nm,,,,,True,True,False,1,1,0,0,
Au_Au_Rosenblatt-44nm,Au,Rosenblatt-44nm,,,,,True,True,False,1,1,0,0,
Au_Au_Werner-DFT,Au,Werner-DFT,,,,,True,True,False,1,1,0,0,
Au_Au_Yakubovsky-25nm,Au,Yakubovsky-25nm,,,,,True,True,False,1,1,0,0,
Au_Au_Yakubovsky-6nm,Au,Yakubovsky-6nm,,,,,True,True,False,1,1,0,0,
BaF2_BaF2_Querry,BaF2,Querry,,,,,True,True,False,1,1,0,0,
C_C_Querry-DixonKS2,C,Querry-DixonKS2,,,,,True,True,False,1,1,0,0,
C_C_Song-cHOPG-e,C,Song-cHOPG-e,,,,,True,True,False,1,1,0,0,
C_C_Song-sHOPG-e,C,Song-sHOPG-e,,,,,True,True,False,1,1,0,0,
C_C_Song,C,Song,,,,,True,True,False,1,1,0,0,
Cr_Cr_Rakic-BB,Cr,Rakic-BB,,,,,True,True,False,1,1,0,0,
Cu_Cu_Hagemann,Cu,Hagemann,,,,,True,True,False,1,1,0,0,
Cu_Cu_Johnson,Cu,Johnson,,,,,True,True,False,1,1,0,0,
Cu_Cu_McPeak,Cu,McPeak,,,,,True,True,False,1,1,0,0,
Cu_Cu_Querry,Cu,Querry,,,,,True,True,False,1,1,0,0,
Cu_Cu_Rakic-LD,Cu,Rakic-LD,,,,,True,True,False,1,1,0,0,
Cu_Cu_Werner-DFT,Cu,Werner-DFT,,,,,True,True,False,1,1,0,0,
Cu_Cu_Werner,Cu,Werner,,,,,True,True,False,1,1,0,0,
Fe2O3_Fe2O3_Querry-e,Fe2O3,Querry-e,,,,,True,True,False,1,1,0,0,
Fe_Fe_Werner,Fe,Werner,,,,,True,True,False,1,1,0,0,
GaP_GaP_Khmelevskaia,GaP,Khmelevskaia,,,,,True,True,False,1,1,0,0,
GaSb_GaSb_Adachi,GaSb,Adachi,,,,,True,True,False,1,1,0,0,
GeS2_GeS2_Slavich-abinitio-alpha,GeS2,Slavich-abinitio-alpha,,,,,True,True,False,1,1,0,0,
GeS2_GeS2_Slavich-gamma,GeS2,Slavich-gamma,,,,,True,True,False,1,1,0,0,
InSb_InSb_Adachi,InSb,Adachi,,,,,True,True,False,1,1,0,0,
Mo_Mo_Querry,Mo,Querry,,,,,True,True,False,1,1,0,0,
Mo_Mo_Werner,Mo,Werner,,,,,True,True,False,1,1,0,0,
MoO3_MoO3_Lajaunie-gamma,MoO3,Lajaunie-gamma,,,,,True,True,False,1,1,0,0,
MoS2_MoS2_Munkhbat-e,MoS2,Munkhbat-e,,,,,True,True,False,1,1,0,0,
MoS2_MoS2_Song-10L,MoS2,Song-10L,,,,,True,True,False,1,1,0,0,
MoS2_MoS2_Song-3L,MoS2,Song-3L,,,,,True,True,False,1,1,0,0,
MoS2_MoS2_Ullberg,MoS2,Ullberg,,,,,False,False,False,0,0,0,0,
MoSe2_MoSe2_Beal,MoSe2,Beal,,,,,True,True,False,1,1,0,0,
MoSe2_MoSe2_Munkhbat-e,MoSe2,Munkhbat-e,,,,,True,True,False,1,1,0,0,
MoSe2_MoSe2_Munkhbat-o,MoSe2,Munkhbat-o,,,,,True,True,False,1,1,0,0,
MoSe2_MoSe2_Pruszynska-Karbownik-e,MoSe2,Pruszynska-Karbownik-e,,,,,False,False,False,0,0,0,0,
MoSe2_MoSe2_Pruszynska-Karbownik-o,MoSe2,Pruszynska-Karbownik-o,,,,,False,False,False,0,0,0,0,
Ni_Ni_Johnson,Ni,Johnson,,,,,True,True,False,1,1,0,0,
Ni_Ni_Rakic-LD,Ni,Rakic-LD,,,,,True,True,False,1,1,0,0,
Ni_Ni_Werner-DFT,Ni,Werner-DFT,,,,,True,True,False,1,1,0,0,
Pd_Pd_Johnson,Pd,Johnson,,,,,True,True,False,1,1,0,0,
Pd_Pd_Rakic-LD,Pd,Rakic-LD,,,,,True,True,False,1,1,0,0,
Pd_Pd_Werner,Pd,Werner,,,,,True,True,False,1,1,0,0,
Pt_Pt_Tselin,Pt,Tselin,,,,,True,True,False,1,1,0,0,
Pt_Pt_Werner-DFT,Pt,Werner-DFT,,,,,True,True,False,1,1,0,0,
Si3N4_Si3N4_Vogt-1,Si3N4,Vogt-1,,,,,True,True,False,1,1,0,0,
Si_Si_Franta-100K,Si,Franta-100K,,,,,True,True,False,1,1,0,0,
Si_Si_Franta-150K,Si,Franta-150K,,,,,True,True,False,1,1,0,0,
Si_Si_Franta-20C,Si,Franta-20C,,,,,True,True,False,1,1,0,0,
Si_Si_Franta-300K,Si,Franta-300K,,,,,True,True,False,1,1,0,0,
Si_Si_Franta-350K,Si,Franta-350K,,,,,True,True,False,1,1,0,0,
Si_Si_Franta-450K,Si,Franta-450K,,,,,True,True,False,1,1,0,0,
Si_Si_Franta-50K,Si,Franta-50K,,,,,True,True,False,1,1,0,0,
Si_Si_Green-1995,Si,Green-1995,,,,,True,True,False,1,1,0,0,
Si_Si_Green-2008,Si,Green-2008,,,,,True,True,False,1,1,0,0,
Si_Si_Karaman-120C,Si,Karaman-120C,,,,,True,True,False,1,1,0,0,
Si_Si_Karaman-170C,Si,Karaman-170C,,,,,True,True,False,1,1,0,0,
Si_Si_Karaman-20C,Si,Karaman-20C,,,,,True,True,False,1,1,0,0,
SiO2_SiO2_Franta-25C,SiO2,Franta-25C,,,,,True,True,False,1,1,0,0,
SiO2_SiO2_Franta,SiO2,Franta,,,,,True,True,False,1,1,0,0,
Ta2O5_Ta2O5_Cheikh-amorphous-3.28-12-25,Ta2O5,Cheikh-amorphous-3.28-12-25,,,,,False,False,False,0,0,0,0,
Ta2O5_Ta2O5_Cheikh-amorphous-3.28-16-25,Ta2O5,Cheikh-amorphous-3.28-16-25,,,,,False,False,False,0,0,0,0,
Ta2O5_Ta2O5_Cheikh-amorphous-3.28-4-25,Ta2O5,Cheikh-amorphous-3.28-4-25,,,,,False,False,False,0,0,0,0,
Ta2O5_Ta2O5_Cheikh-amorphous-3.28-8-25,Ta2O5,Cheikh-amorphous-3.28-8-25,,,,,False,False,False,0,0,0,0,
Ta2O5_Ta2O5_Cheikh-amorphous-3.28-8-450,Ta2O5,Cheikh-amorphous-3.28-8-450,,,,,False,False,False,0,0,0,0,
Ta2O5_Ta2O5_Cheikh-amorphous-3.28-8-550,Ta2O5,Cheikh-amorphous-3.28-8-550,,,,,False,False,False,0,0,0,0,
Ta2O5_Ta2O5_Cheikh-amorphous-4.38-12-25,Ta2O5,Cheikh-amorphous-4.38-12-25,,,,,False,False,False,0,0,0,0,
Ta2O5_Ta2O5_Cheikh-amorphous-5.48-12-25,Ta2O5,Cheikh-amorphous-5.48-12-25,,,,,False,False,False,0,0,0,0,
Ta2O5_Ta2O5_Cheikh-amorphous-6.75-12-25,Ta2O5,Cheikh-amorphous-6.75-12-25,,,,,False,False,False,0,0,0,0,
Ta2O5_Ta2O5_Cheikh-crystalline-3.28-8-650,Ta2O5,Cheikh-crystalline-3.28-8-650,,,,,False,False,False,0,0,0,0,
Ta2O5_Ta2O5_Cheikh-crystalline-3.28-8-750,Ta2O5,Cheikh-crystalline-3.28-8-750,,,,,False,False,False,0,0,0,0,
Ta2O5_Ta2O5_Cheikh-crystalline-3.28-8-850,Ta2O5,Cheikh-crystalline-3.28-8-850,,,,,False,False,False,0,0,0,0,
Ta2O5_Ta2O5_Franta-2025,Ta2O5,Franta-2025,,,,,True,True,False,1,1,0,0,
Ta2O5_Ta2O5_Rodriguez-de_Marcos,Ta2O5,Rodriguez-de Marcos,,,,,True,True,False,1,1,0,0,
Ti_Ti_Palm,Ti,Palm,,,,,True,True,False,1,1,0,0,
Ti_Ti_Rakic-BB,Ti,Rakic-BB,,,,,True,True,False,1,1,0,0,
TiN_TiN_Shkondin-700,TiN,Shkondin-700,,,,,True,True,False,1,1,0,0,
TiN_TiN_Shkondin-900,TiN,Shkondin-900,,,,,True,True,False,1,1,0,0,
TiN_TiN_Shkondin,TiN,Shkondin,,,,,True,True,False,1,1,0,0,
TiO2_TiO2_Siefke,TiO2,Siefke,,,,,True,True,False,1,1,0,0,
V_V_Werner-DFT,V,Werner-DFT,,,,,True,True,False,1,1,0,0,
VO2_VO2_Oguntoye-20C,VO2,Oguntoye-20C,,,,,True,True,False,1,1,0,0,
VO2_VO2_Oguntoye-55C,VO2,Oguntoye-55C,,,,,True,True,False,1,1,0,0,
VO2_VO2_Oguntoye-70C,VO2,Oguntoye-70C,,,,,True,True,False,1,1,0,0,
W_W_Rakic-BB,W,Rakic-BB,,,,,True,True,False,1,1,0,0,
W_W_Weaver,W,Weaver,,,,,True,True,False,1,1,0,0,
W_W_Werner-DFT,W,Werner-DFT,,,,,True,True,False,1,1,0,0,
WS2_WS2_Munkhbat-e,WS2,Munkhbat-e,,,,,True,True,False,1,1,0,0,
WSe2_WSe2_Munkhbat-e,WSe2,Munkhbat-e,,,,,True,True,False,1,1,0,0,
ZnO_ZnO_Querry,ZnO,Querry,,,,,True,True,False,1,1,0,0,
ZrO2_ZrO2_Synowicki,ZrO2,Synowicki,,,,,True,True,False,1,1,0,0,
